timestamp_epoch_ms	direction	message
1789134189584	RX	Status(sequence=1, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134189820	RX	Acknowledgement(sequence=2, duplicate=false)
1789134189821	RX	Status(sequence=2, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134189821	TX	<CMD,seq=2,move=S,turn=C,step_speed=60,servo=0>
1789134190084	RX	Acknowledgement(sequence=2, duplicate=false)
1789134190084	TX	<CMD,seq=2,move=S,turn=C,step_speed=60,servo=0>
1789134190085	RX	Status(sequence=2, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134190585	TX	<CMD,seq=2,move=S,turn=C,step_speed=60,servo=0>
1789134190586	RX	Acknowledgement(sequence=2, duplicate=false)
1789134190586	RX	Status(sequence=2, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134191086	TX	<CMD,seq=2,move=S,turn=C,step_speed=60,servo=0>
1789134191086	RX	Acknowledgement(sequence=2, duplicate=false)
1789134191087	RX	Status(sequence=2, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134191587	TX	<CMD,seq=2,move=S,turn=C,step_speed=60,servo=0>
1789134191587	RX	Acknowledgement(sequence=2, duplicate=false)
1789134191587	RX	Status(sequence=2, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134192087	TX	<CMD,seq=2,move=S,turn=C,step_speed=60,servo=0>
1789134192087	RX	Acknowledgement(sequence=2, duplicate=false)
1789134192088	RX	Status(sequence=2, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134192588	TX	<CMD,seq=2,move=S,turn=C,step_speed=60,servo=0>
1789134192589	RX	Acknowledgement(sequence=2, duplicate=false)
1789134192590	RX	Status(sequence=2, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134193090	TX	<CMD,seq=2,move=S,turn=C,step_speed=60,servo=0>
1789134193090	RX	Acknowledgement(sequence=2, duplicate=false)
1789134193092	RX	Status(sequence=2, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134193591	RX	Acknowledgement(sequence=2, duplicate=false)
1789134193591	TX	<CMD,seq=2,move=S,turn=C,step_speed=60,servo=0>
1789134193592	RX	Status(sequence=2, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134194091	TX	<CMD,seq=2,move=S,turn=C,step_speed=60,servo=0>
1789134194091	RX	Acknowledgement(sequence=2, duplicate=false)
1789134194091	RX	Status(sequence=2, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134194594	TX	<CMD,seq=2,move=S,turn=C,step_speed=60,servo=0>
1789134194594	RX	Acknowledgement(sequence=2, duplicate=false)
1789134194595	RX	Status(sequence=2, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134195095	TX	<CMD,seq=2,move=S,turn=C,step_speed=60,servo=0>
1789134195096	RX	Acknowledgement(sequence=2, duplicate=false)
1789134195096	RX	Status(sequence=2, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134195596	TX	<CMD,seq=2,move=S,turn=C,step_speed=60,servo=0>
1789134195596	RX	Acknowledgement(sequence=2, duplicate=false)
1789134195597	RX	Status(sequence=2, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134196097	RX	Acknowledgement(sequence=2, duplicate=false)
1789134196097	TX	<CMD,seq=2,move=S,turn=C,step_speed=60,servo=0>
1789134196098	RX	Status(sequence=2, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134196598	RX	Acknowledgement(sequence=2, duplicate=false)
1789134196598	TX	<CMD,seq=2,move=S,turn=C,step_speed=60,servo=0>
1789134196599	RX	Status(sequence=2, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134197099	TX	<CMD,seq=2,move=S,turn=C,step_speed=60,servo=0>
1789134197099	RX	Acknowledgement(sequence=2, duplicate=false)
1789134197100	RX	Status(sequence=2, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134197600	TX	<CMD,seq=2,move=S,turn=C,step_speed=60,servo=0>
1789134197600	RX	Acknowledgement(sequence=2, duplicate=false)
1789134197601	RX	Status(sequence=2, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134198101	RX	Acknowledgement(sequence=2, duplicate=false)
1789134198101	TX	<CMD,seq=2,move=S,turn=C,step_speed=60,servo=0>
1789134198102	RX	Status(sequence=2, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134198601	RX	Acknowledgement(sequence=2, duplicate=false)
1789134198601	TX	<CMD,seq=2,move=S,turn=C,step_speed=60,servo=0>
1789134198602	RX	Status(sequence=2, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
